date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,ema8,ema21,sma20,std20,bb_up,bb_dn,bbw,bbw_mean,bbw_std,bbw_zscore,ema_htf,hma9,hma21,hma9_slope,hma21_slope,up_move,dn_move,plus_dm,minus_dm,tr,plus_di,minus_di,adx,atr,atr_roc,typical_price,mock_volume,vol_price,year_week,vwap,hour,minute,capital,position,long_signal,short_signal,trade_return
2024-06-06 12:00:00+08:00,21936.16015625,21953.599609375,21882.279296875,21941.33984375,0,0.0,0.0,2024-06-06,21757.032027639067,21616.290434196984,21547.70908203125,216.20453820569293,22023.359066083776,21072.059097978727,0.04414854333161104,0.028661036809777704,0.009894039616216597,1.5653368651477841,21258.15338759029,22063.471824363427,21794.05383488907,1.904161159490832,1.5245264274164354,-17.03125,41.0,0.0,41.0,71.3203125,29.870603201474903,33.575497715428405,5.839436088826775,91.39481026785714,0.05363398041076284,21925.739583333332,1,21925.739583333332,2024-23,21519.41206181497,12,0,0.0,0.0,False,False,0.0
2024-06-06 13:00:00+08:00,21943.05078125,21956.900390625,21907.939453125,21914.779296875,0,0.0,0.0,2024-06-06,21792.08697635816,21643.42578534953,21578.9650390625,222.04269883394795,22067.458976497186,21090.471101627812,0.0452750107848441,0.029005142329887296,0.0098671862339443,1.6488861586599386,21267.21029668387,22056.858072916668,21885.329978524078,1.0252410781587515,1.4715078811929623,3.30078125,25.66015625,0.0,25.66015625,48.9609375,31.959435041014412,29.263549284599545,4.403388345188771,86.54059709821429,-0.03648425316707349,21926.539713541668,1,21926.539713541668,2024-23,21537.789920550258,13,0,50000.0,0.0,False,False,0.0
2024-06-07 09:00:00+08:00,21823.619140625,21920.849609375,21823.619140625,21868.859375,0,0.0,0.0,2024-06-07,21809.14750938968,21663.919748045028,21597.6650390625,230.18612666653024,22104.074517728866,21091.255560396134,0.046894835876973566,0.029365327376478255,0.009856131286355463,1.778538273554084,21275.508904660644,21999.806228298617,21950.973481128247,0.06328352351266206,1.239962733405918,-36.05078125,84.3203125,0.0,84.3203125,97.23046875,33.26774910771179,31.129970525591887,3.3196495066280964,82.12276785714286,-0.08119978959822316,21871.109375,1,21871.109375,2024-23,21554.749187278216,9,0,50000.0,0.0,False,False,0.0
2024-06-07 10:00:00+08:00,21860.0,21891.990234375,21832.759765625,21841.369140625,0,0.0,0.0,2024-06-07,21816.307871886416,21680.051511006845,21610.0330078125,236.53712297488977,22130.414678357258,21089.651337267744,0.04816111760279159,0.029740655192672296,0.00985004171465275,1.8700895969433045,21283.31387343257,21926.06084346065,21991.4356840165,-0.6227985422994076,0.9056683562534357,-28.859375,9.140625,0.0,9.140625,59.23046875,33.92014045378282,31.40643906112822,3.847899907329999,80.04715401785714,-0.12416083820014101,21855.373046875,1,21855.373046875,2024-23,21570.096354886868,10,0,50000.0,0.0,False,False,0.0
2024-06-07 11:00:00+08:00,21842.19921875,21880.890625,21830.689453125,21871.80078125,0,0.0,0.0,2024-06-07,21828.639629522768,21697.483262847134,21624.8470703125,243.43900765905107,22160.412887162413,21089.281253462585,0.049532448956380044,0.03013480953087737,0.009845473216760697,1.9702087475360615,21291.43093423005,21875.187275752312,22013.915772287604,-0.8236476680576128,0.587543317325838,-11.099609375,2.0703125,0.0,2.0703125,50.201171875,34.38606524268176,31.548419164798947,4.303735902904588,78.61300223214286,-0.09160550229477227,21861.126953125,1,21861.126953125,2024-23,21584.100789278444,11,0,50000.0,0.0,False,False,0.0
2024-06-07 12:00:00+08:00,21863.259765625,21881.150390625,21833.0,21866.5703125,0,0.0,0.0,2024-06-07,21837.068670184377,21712.854812815578,21640.1140625,248.75584006481287,22187.37691064259,21092.85121435741,0.050578554859922076,0.030536149050389864,0.009852721558382604,2.034199754511541,21299.363891171703,21850.254181134263,22020.943618100653,-0.6797880200053007,0.3187564188556881,0.259765625,2.310546875,0.0,2.310546875,48.150390625,34.631735192972826,30.41167121717202,6.488073439950892,77.87234933035714,-0.05175688347693741,21860.240234375,1,21860.240234375,2024-23,21596.88333687718,12,0,50000.0,0.0,False,False,0.0
2024-06-07 13:00:00+08:00,21866.529296875,21890.080078125,21856.869140625,21868.05078125,0,0.0,0.0,2024-06-07,21843.953583754515,21726.963537218708,21654.9166015625,253.25701635742104,22212.08203754883,21097.751165576174,0.05145856215822138,0.030939176914446066,0.009876224610816914,2.0776545668723387,21307.20784827623,21848.64906684028,22015.403305431548,-0.35305829520882004,0.10898616061010202,8.9296875,23.869140625,0.0,23.869140625,33.2109375,33.00113280592608,35.459069371725434,3.5903145003650425,67.92396763392857,-0.15145056101837295,21871.666666666668,1,21871.666666666668,2024-23,21608.7279450709,13,0,50000.0,0.0,False,False,0.0
2024-06-11 09:00:00+08:00,21984.419921875,21990.80078125,21892.890625,21969.609375,0,0.0,0.0,2024-06-11,21871.87709292018,21749.02224974428,21679.03359375,259.3449872251037,22249.592565645227,21108.47462185477,0.05263693784391689,0.03131656598613008,0.009977587838953037,2.136826061077096,21316.344421058628,21886.536942997685,22008.884204207257,0.05188374893573411,-0.0228563065853143,100.720703125,36.021484375,100.720703125,0.0,122.75,40.01186013780191,27.01095232488928,19.397735390402655,67.708984375,-0.13870501758657527,21951.100260416668,1,21951.100260416668,2024-24,21722.852050186157,9,0,50000.0,0.0,False,False,0.0
2024-06-11 10:00:00+08:00,21962.939453125,22003.7109375,21873.7890625,21885.599609375,0,0.0,0.0,2024-06-11,21874.92654102125,21761.43837334707,21706.33203125,250.31641392110777,22257.028141876435,21155.635920623565,0.0507405958624044,0.031651112352851694,0.01006289139109242,1.8970175539639618,21324.19621675954,21909.888874421293,21993.851272997836,0.27292448313264217,-0.12302990086468535,12.91015625,19.1015625,0.0,19.1015625,129.921875,39.07414027271025,27.091156073219146,18.11067865042097,69.99553571428571,-0.10115032721891692,21921.033203125,1,21921.033203125,2024-24,21793.923610714384,10,0,50000.0,0.0,False,False,0.0
2024-06-11 11:00:00+08:00,21885.9296875,21890.490234375,21846.009765625,21860.98046875,0,0.0,0.0,2024-06-11,21871.827413849864,21770.48765474734,21730.5865234375,239.8976583242157,22258.361371750776,21202.811675124227,0.048574376742571514,0.03194233331726846,0.010127480836315686,1.6422684033520507,21331.60013747665,21908.794314236107,21972.581743607956,0.275281310125071,-0.1945072785154338,-113.220703125,27.779296875,0.0,27.779296875,44.48046875,39.848082511573715,25.28103568678397,22.366411871569614,68.1005859375,0.0026002353767569097,21865.826822916668,1,21865.826822916668,2024-24,21833.500216749406,11,0,50000.0,0.0,False,False,0.0
