entry_time,exit_time,symbol,direction,entry_price,exit_price,pnl,ret,reason,feat_date_x,feat_Open,feat_High,feat_Low,feat_Close,feat_Volume,feat_time,feat_date_only,feat_day_of_week,feat_ret,feat_mock_volume,feat_vwap,feat_vwap_bias,feat_macd,feat_signal,feat_macd_hist,feat_atr,feat_rsi,feat_bb_upper,feat_bb_lower,feat_bb_width,feat_is_squeeze,feat_vwap_5,feat_slope_vwap,feat_ma_20,feat_slope_ma20,feat_vol_surge_ratio,feat_price_roc,feat_pv_divergence,feat_date_y,feat_foreign_net_oi,feat_dealer_net_oi,feat_trust_net_oi,feat_pc_ratio,feat_foreign_net_oi_zscore,feat_foreign_net_oi_momentum,feat_dealer_net_oi_zscore,feat_dealer_net_oi_momentum
2026-06-02 08:45:46,08:45:56,TX120260645900C,Call,485.0,306.0,-18100.0,-0.3731958762886598,觸及硬停損 (-10.0%),2026-06-02 08:45:00,46133.0,46133.0,46133.0,46133.0,0,08:45:00,2026-06-02,1,-0.008872942895200464,1,46543.46585431501,-0.008818979136615895,-29.0834320530048,-1.6929936651428648,-27.390438387861934,40.57142857142857,10.317460317173712,46709.81507325301,46339.284926746994,0.007964185500042674,0,549.202380952381,-9247.659888138163,46524.55,-4.1681034806874315,0.05681818181495351,-0.008872942895200464,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 08:46:01,08:48:09,TX120260645850C,Call,500.0,350.0,-15200.0,-0.304,觸及硬停損 (-10.0%),2026-06-02 08:46:00,46112.0,46112.0,46112.0,46112.0,73,08:46:00,2026-06-02,1,2.1686799245301813e-05,73,46538.43513480837,-0.0091630742110925,-57.57492101871321,-13.150176856655225,-44.42474416205799,41.357142857142854,7.961165048327274,46767.96106556082,46234.03893443918,0.01148194944456307,0,14509.379310344828,336.2438901993449,46501.0,-9.378091789282218,2.925851703289545,2.1686799245301813e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 08:48:14,08:50:32,TX120260646000C,Call,285.0,290.0,450.0,0.010526315789473684,跌破動態停利線 (觸發價: 291.60),2026-06-02 08:48:00,46149.0,46149.0,46145.0,46149.0,63,08:48:00,2026-06-02,1,0.00030345724504177163,63,46513.58368600682,-0.007838219657895265,-87.43561071641307,-37.606764267484536,-49.82884644892853,48.642857142857146,12.33644859780803,46797.61752407876,46123.48247592124,0.01450983787659652,0,2717.1841121495327,-8867.29160455358,46460.55,-13.520063537849017,0.941704035860363,0.00030345724504177163,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 08:50:37,08:52:30,TX120260646000C,Call,288.0,258.0,-4800.0,-0.1111111111111111,觸及硬停損 (-10.0%),2026-06-02 08:50:00,46197.0,46197.0,46126.0,46126.0,212,08:50:00,2026-06-02,1,-0.0018825871508016956,212,46496.028869355396,-0.007958289736852482,-98.59406788108754,-57.645225855361346,-40.948842025726194,59.357142857142854,19.43198804144687,46793.96488823962,46054.93511176037,0.015918977531865917,0,5556.086363636364,-5602.766745520623,46424.45,-12.080308773983438,2.054263565871567,-0.0018825871508016956,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 08:52:35,08:55:39,TX120260646000C,Call,256.0,228.0,-4500.0,-0.1171875,觸及硬停損 (-10.0%),2026-06-02 08:52:00,46083.0,46096.0,46062.0,46069.0,255,08:52:00,2026-06-02,1,-0.0006074147992277679,255,46481.8618433352,-0.008882213985462191,-114.80002808107383,-76.89587931368118,-37.904148767392655,64.71428571428571,17.84232365110678,46792.413405232655,45965.88659476735,0.017821085778098347,0,8046.29794520548,-1897.795856927203,46379.15,-14.21031044145621,1.9570222563165232,-0.0006074147992277679,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 08:55:44,08:58:27,TX120260646000C,Call,230.0,239.0,1050.0,0.030434782608695653,跌破動態停利線 (觸發價: 242.10),2026-06-02 08:55:00,46032.0,46032.0,45936.0,45943.0,574,08:55:00,2026-06-02,1,-0.0023235613463626903,574,46448.298918387416,-0.010878738945321705,-135.09021015402686,-102.11945798524674,-32.97075216878012,74.21428571428571,13.708690330242447,46760.15434492187,45837.44565507813,0.019929429917054462,0,14958.186046511628,3007.5014341738556,46298.8,-17.184686869993012,3.0194634402786984,-0.0023235613463626903,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 08:58:32,09:03:00,TX120260646000C,Call,245.0,273.0,3900.0,0.10612244897959183,跌破動態停利線 (觸發價: 278.10),2026-06-02 08:58:00,45990.0,46004.0,45952.0,45983.0,147,08:58:00,2026-06-02,1,0.0002827931259516969,147,46424.77093528344,-0.009515845234848136,-138.89646498576622,-120.01403084705053,-18.88243413871568,86.14285714285714,15.375153751272762,46676.6716518946,45754.128348105405,0.019961815840372963,0,4211.527102803739,-7484.131522226556,46215.4,-18.27213822894137,0.6295503211964474,0.0002827931259516969,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 09:03:05,09:03:42,TX120260646000C,Call,290.0,250.0,-4200.0,-0.14482758620689656,觸及硬停損 (-10.0%),2026-06-02 09:03:00,46063.0,46086.0,46063.0,46086.0,124,09:03:00,2026-06-02,1,0.0004993161539630364,124,46376.92579777009,-0.006273072066887042,-98.28780343509425,-113.89935597824007,15.61155254314582,67.92857142857143,36.68763102617688,46347.75073099238,45843.74926900762,0.010933794590276835,1,2392.073670992047,-8137.259057061819,46095.75,-15.335778826878531,0.3431101272818398,0.0004993161539630364,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 09:03:47,09:06:15,TX120260646000C,Call,250.0,224.0,-4200.0,-0.112,觸及硬停損 (-10.0%),2026-06-02 09:03:00,46063.0,46108.0,45968.0,45968.0,616,09:03:00,2026-06-02,1,-0.0020623928098474353,616,46368.18748043819,-0.008630647480171838,-107.70090884820092,-115.7819770608614,8.081068212660469,76.28571428571429,27.68670309583314,46348.25586191751,45831.44413808249,0.011213135296274842,1,9828.631725095453,-2346.308163743299,46089.85,-16.613760395785338,1.5958549222756584,-0.0020623928098474353,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 09:06:20,09:09:21,TX120260646000C,Call,235.0,255.0,2700.0,0.07659574468085106,跌破動態停利線 (觸發價: 261.00),2026-06-02 09:06:00,45881.0,45881.0,45868.0,45872.0,211,09:06:00,2026-06-02,1,-0.00019615963034802508,211,46320.975991838895,-0.009692714417718422,-115.45811194241105,-114.2419078440375,-1.2162040983735523,76.42857142857143,31.147540982712982,46217.95851193293,45852.44148806707,0.007939946472826299,1,2467.242416517971,-7795.650354294654,46035.2,-11.857274432440429,0.4420236723568827,-0.00019615963034802508,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 09:09:26,09:14:28,TX120260646000C,Call,250.0,274.0,3300.0,0.088,跌破動態停利線 (觸發價: 274.50),2026-06-02 09:09:00,46049.0,46049.0,45951.0,45951.0,213,09:09:00,2026-06-02,1,-0.0011303610634089134,213,46295.120926902295,-0.007433200735032904,-95.06165606938157,-107.38163795396935,12.319981884587776,89.5,48.671096344383066,46142.19913809227,45866.80086190773,0.0059863334279154,1,2602.383142781175,-6255.595348683719,46004.5,-6.560268666896295,0.41179313678025753,-0.0011303610634089134,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 09:14:33,09:15:21,TX120260646000C,Call,275.0,245.0,-3200.0,-0.11636363636363636,觸及硬停損 (-10.0%),2026-06-02 09:14:00,46114.0,46129.0,46072.0,46083.0,191,09:14:00,2026-06-02,1,-0.00032539372640894015,191,46282.47434569181,-0.0043099326151384,-43.27088959130924,-74.61941755554007,31.348527964230826,82.64285714285714,55.702479337553996,46128.26638998053,45873.63361001947,0.005535380898895642,1,6781.088597842835,9416.911398968354,46000.95,0.7826537833154616,0.370478130151546,-0.00032539372640894015,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02 09:15:27,09:17:56,TX120260646000C,Call,245.0,218.0,-4350.0,-0.11836734693877551,觸及硬停損 (-10.0%),2026-06-02 09:15:00,46049.0,46049.0,45985.0,45992.0,276,09:15:00,2026-06-02,1,-0.0017797456266006595,276,46278.971903962636,-0.006200913550070847,-43.75292064558016,-68.56098996842054,24.80806932284038,82.07142857142857,45.35768645261033,46126.99817468904,45876.50182531096,0.00544536565191707,1,8864.379888268157,-525.7505747730762,46001.75,1.021804659211208,0.5514485514474496,-0.0017797456266006595,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
