entry_time,exit_time,symbol,direction,entry_price,exit_price,pnl,ret,reason,feat_date,feat_Open,feat_High,feat_Low,feat_Close,feat_Volume,feat_time,feat_date_only,feat_day_of_week,feat_ret,feat_mock_volume,feat_vwap,feat_vwap_bias,feat_macd,feat_signal,feat_macd_hist,feat_atr,feat_rsi,feat_rsi_fast,feat_body_length,feat_upper_shadow,feat_lower_shadow,feat_body_avg_5,feat_momentum_explosion,feat_daily_open,feat_yesterday_close,feat_gap_amplitude,feat_intraday_trend,feat_dist_from_ma20,feat_recent_high_20,feat_recent_low_20,feat_pullback_from_high,feat_bounce_from_low,feat_gap_filled,feat_spot_futures_proxy,feat_bb_upper,feat_bb_lower,feat_bb_width,feat_is_squeeze,feat_vwap_5,feat_slope_vwap,feat_ma_20,feat_slope_ma20,feat_vol_surge_ratio,feat_price_roc,feat_pv_divergence,feat_pc_ratio,feat_foreign_net_oi,feat_dealer_net_oi,feat_foreign_net_oi_zscore,feat_foreign_net_oi_momentum,feat_dealer_net_oi_zscore,feat_dealer_net_oi_momentum,feat_dealer_relative_momentum,feat_dealer_extreme_score,feat_foreign_spot_net,feat_dealer_spot_net
2026-06-10 12:38:00,12:38:05,TX243800F6,Call,6.7,4.5,-37590.0,-0.6268656716417911,觸及原始動態停損 (4.5),2026-06-10 12:37:00,43403.0,43453.0,43399.0,43440.0,138,12:37:00,2026-06-10,2,0.000714137621230515,138,43650.20857321094,-0.004815751861949761,-65.00804143955611,-59.60180387304261,-5.4062375665134965,54.785714285714285,28.282828281828387,75.60975609202856,37.0,13.0,4.0,23.4,1,43183.0,43162.0,0.0004865390853065084,0.005951416066507516,-0.0019872950960908415,43676.0,43360.0,-0.005403425222089812,0.0018450184501844595,0,-0.00482943892136827,43710.42504194045,43342.57495805955,0.008451175350209396,0,6296.9747899159665,-210.60369148695852,43526.5,-6.164852990642177,0.5289382905307439,0.000714137621230515,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:39:00,12:39:18,TX243700F6,Call,9.5,10.5,-4300.0,-0.10526315789473684,觸及動態停利 (10.5),2026-06-10 12:38:00,43447.0,43460.0,43417.0,43417.0,126,12:38:00,2026-06-10,2,-0.0005294659300184579,126,43649.963075060536,-0.0053370738174492085,-64.01473010514019,-60.484389119462136,-3.530340985678052,54.92857142857143,23.82133994954468,55.3571428541773,30.0,13.0,0.0,22.4,1,43183.0,43162.0,0.0004865390853065084,0.0054187990644465325,-0.0022796108116056738,43676.0,43360.0,-0.005930030222547717,0.0013145756457564274,0,-0.005353479280372144,43700.443088851775,43331.95691114822,0.008467793090930422,0,6474.014201183432,968.1108928040036,43516.2,-6.22368998215703,0.4921874999980774,-0.0005294659300184579,1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:40:00,12:40:14,TX243700F6,Call,8.5,9.5,-4550.0,-0.11764705882352941,觸及動態停利 (9.5),2026-06-10 12:39:00,43424.0,43455.0,43408.0,43424.0,143,12:39:00,2026-06-10,2,0.0001612271690811795,143,43649.68215400208,-0.0051703046360301085,-61.948577576979005,-60.77722681096551,-1.1713507660134965,55.07142857142857,27.46666666564124,62.29508196414942,0.0,31.0,16.0,17.0,0,43183.0,43162.0,0.0004865390853065084,0.005580899891160744,-0.0018928271390267549,43647.0,43360.0,-0.005109171306160673,0.0014760147601475676,0,-0.005187338262163515,43688.04873851824,43324.651261481755,0.00835274568049214,0,8973.456647398843,74511.51184346694,43506.35,-6.512046712162607,0.5795339412337203,0.0001612271690811795,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:41:00,12:41:11,TX243700F6,Call,7.8,5.1,-22090.0,-0.6025641025641025,觸及原始動態停損 (5.2),2026-06-10 12:40:00,43422.0,43479.0,43412.0,43414.0,181,12:40:00,2026-06-10,2,-0.00023028739867358983,181,43649.337244807386,-0.0053915422240546585,-60.42155120788084,-60.70609169034858,0.2845404824677402,57.357142857142854,21.44846796573738,17.4999999986875,8.0,57.0,2.0,15.4,0,43183.0,43162.0,0.0004865390853065084,0.005349327281569012,-0.0019207978380391766,43647.0,43360.0,-0.0053382821270647396,0.0012453874538745102,0,-0.0054103563259857304,43679.23854206022,43315.86145793978,0.008353966697444575,0,12633.334405144695,10062.545629650342,43497.55,-6.6511205817139185,0.7384740922042494,-0.00023028739867358983,1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:42:00,12:42:40,TX243600F6,Call,13.0,10.0,-9750.0,-0.38461538461538464,觸及原始動態停損 (10.0),2026-06-10 12:41:00,43412.0,43412.0,43333.0,43342.0,579,12:41:00,2026-06-10,2,-0.0016584511908600552,579,43647.869771015285,-0.007007667788140096,-64.28018808442721,-61.42091096916431,-2.8592771152628984,59.0,20.052083332602265,7.8651685390607184,70.0,0.0,9.0,29.0,1,43183.0,43162.0,0.0004865390853065084,0.003682004492508541,-0.0032793218748705354,43647.0,43333.0,-0.006987880037574015,0.0002076939053377286,0,-0.00703397917918706,43672.07114865795,43297.128851342044,0.008622415690058097,0,21503.87146529563,23215.669285008335,43484.6,-7.261663472453603,2.1657003927354936,-0.0016584511908600552,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:42:59,12:43:12,TX243600F6,Call,7.8,9.3,-1324.9999999999977,-0.06410256410256399,觸及動態停利 (8.8),2026-06-10 12:42:00,43342.0,43368.0,43306.0,43310.0,467,12:42:00,2026-06-10,2,-0.0007383138756863472,467,43646.55603925914,-0.007710941476262426,-69.12350543118373,-62.96142986156819,-6.1620755696155385,61.92857142857143,18.689320387714446,0.0,32.0,26.0,4.0,28.0,1,43183.0,43162.0,0.0004865390853065084,0.002940972141814998,-0.0036566330679713554,43643.0,43306.0,-0.007630089590541264,9.236595390938688e-05,0,-0.0077424469479740275,43659.99860224887,43277.90139775113,0.008790118107240459,0,13519.89973262032,5066.545996563504,43468.95,-8.596446265890258,1.6478475652729436,-0.0007383138756863472,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:44:00,12:44:29,TX243600F6,Call,12.0,13.5,-825.0,-0.041666666666666664,觸及動態停利 (13.3),2026-06-10 12:43:00,43311.0,43370.0,43306.0,43359.0,254,12:43:00,2026-06-10,2,0.0011313784345416966,254,43645.883915408915,-0.00657298901231842,-68.22156311960862,-64.01345651317628,-4.208106606432338,58.142857142857146,32.39074550011961,32.026143790221724,48.0,11.0,5.0,31.6,1,43183.0,43162.0,0.0004865390853065084,0.004075677928814486,-0.002239030934525044,43643.0,43306.0,-0.006507343674815973,0.0012238488892993761,0,-0.006601664555171701,43640.86104395991,43271.7389560401,0.008494098391252813,0,6781.518472906404,-4632.043880557176,43456.3,-9.48329273717715,0.8769204211949702,0.0011313784345416966,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:45:00,12:45:03,TX243600F6,Call,13.0,10.0,-7500.0,-0.38461538461538464,觸及原始動態停損 (10.0),2026-06-10 12:44:00,43360.0,43379.0,43330.0,43352.0,167,12:44:00,2026-06-10,2,-0.00016144283770380685,167,43645.45631912986,-0.00672363961517867,-67.29586400803237,-64.6699380121475,-2.62592599588487,58.07142857142857,35.795454544030875,55.68181817991994,8.0,19.0,22.0,33.2,0,43183.0,43162.0,0.0004865390853065084,0.003913577102100273,-0.0020832134430568664,43636.0,43306.0,-0.006508387569896267,0.001062208469957949,0,-0.006755051369738199,43613.80274831174,43271.19725168826,0.00788641299702993,0,4393.07281553398,-7957.078183515089,43442.5,-9.681588424407387,0.5683171686215133,-0.00016144283770380685,1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:46:00,12:46:41,TX243600F6,Call,14.5,16.0,-550.0,-0.034482758620689655,觸及動態停利 (15.7),2026-06-10 12:45:00,43345.0,43368.0,43316.0,43366.0,184,12:45:00,2026-06-10,2,0.0003229378114042447,184,43644.98073967801,-0.006392046346451444,-64.68688762138481,-64.67332793399497,-0.013559687389843589,57.714285714285715,44.02515723076619,89.99999999614286,21.0,2.0,29.0,35.8,0,43183.0,43162.0,0.0004865390853065084,0.004237778755528698,-0.0015000754067069364,43622.0,43306.0,-0.0058685984136443575,0.0013854893086408032,0,-0.006423517214672014,43590.102194071726,43272.19780592828,0.007319732223149533,0,4833.036947304664,-6425.242018885919,43431.15,-8.695862218893172,0.6249999999978771,0.0003229378114042447,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:47:00,12:48:27,TX243700F6,Call,5.5,3.5,-11400.0,-0.7272727272727273,觸及原始動態停損 (3.7),2026-06-10 12:46:00,43364.0,43426.0,43354.0,43419.0,409,12:46:00,2026-06-10,2,0.0012221556057741,409,43644.10614539749,-0.00515776734314501,-57.677725066343555,-63.274207360464686,5.596482294121131,56.07142857142857,51.76151761321229,90.54054053686998,55.0,7.0,10.0,32.8,1,43183.0,43162.0,0.0004865390853065084,0.005465113586364878,-4.951504048145675e-05,43611.0,43306.0,-0.004402558987411332,0.002609338197940179,0,-0.0051842511171971625,43553.23653463468,43289.063465365325,0.006083972194871546,1,11990.797434166105,7681.581908346734,43421.15,-8.08858554455889,1.3300813008086827,0.0012221556057741,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:49:00,12:49:04,TX243600F6,Call,13.0,10.0,-3750.0,-0.38461538461538464,觸及原始動態停損 (10.0),2026-06-10 12:48:00,43386.0,43416.0,43376.0,43395.0,200,12:48:00,2026-06-10,2,0.00016133493131742505,200,43642.66872012592,-0.005674921524945621,-49.94808844817453,-59.12540710478363,9.177318656609103,54.07142857142857,46.531791905631664,65.93406593189228,9.0,21.0,10.0,25.8,0,43183.0,43162.0,0.0004865390853065084,0.004909339323344721,-0.0001912296991243228,43571.0,43306.0,-0.004039383993940831,0.002055142474483858,0,-0.005706218654478196,43487.857299166506,43318.7427008335,0.003896353464667485,1,5964.948453608247,2342.029491280506,43403.3,-6.412448208255721,0.6261740763912769,0.00016133493131742505,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:50:00,12:50:22,TX243600F6,Call,13.0,17.5,1500.0,0.19230769230769232,觸及動態停利 (17.2),2026-06-10 12:49:00,43402.0,43447.0,43381.0,43410.0,209,12:49:00,2026-06-10,2,0.0003456619426200902,209,43642.25297227796,-0.005321745704225731,-45.00627080907725,-56.301579845642365,11.295309036565115,56.285714285714285,49.85835693853253,41.50943395991455,8.0,37.0,21.0,25.8,0,43183.0,43162.0,0.0004865390853065084,0.00525669823773232,0.000253462061337813,43500.0,43306.0,-0.002068965517241332,0.002401514801644059,0,-0.005351574282309566,43471.61143885685,43326.38856114315,0.003346226358065918,1,6060.581162324649,-4945.639607707934,43399.0,-5.101200682156381,0.7163667523540141,0.0003456619426200902,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:51:00,12:51:36,TX243700F6,Call,5.1,3.3,-6650.0,-0.7450980392156863,觸及原始動態停損 (3.4),2026-06-10 12:50:00,43416.0,43482.0,43416.0,43476.0,452,12:50:00,2026-06-10,2,0.001520387007601931,452,43641.53549111502,-0.0037930721101396237,-35.3566271225136,-52.11258930101661,16.75596217850301,59.785714285714285,58.03357313953844,99.99999999659092,60.0,6.0,0.0,33.6,1,43183.0,43162.0,0.0004865390853065084,0.006785077461037752,0.001746535730250118,43482.0,43306.0,-0.00013798813302055707,0.003925553041148942,0,-0.003814164246132896,43477.1623284486,43323.2376715514,0.0035466347366417132,1,11133.79716713881,-2177.281282814098,43400.2,-2.7066280137151177,1.5363698164461714,0.001520387007601931,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:51:59,12:52:28,TX243600F6,Call,11.5,14.5,450.0,0.08695652173913043,觸及動態停利 (14.5),2026-06-10 12:51:00,43476.0,43483.0,43391.0,43398.0,472,12:51:00,2026-06-10,2,-0.0017940932928511844,472,43640.65450858588,-0.005560285731693966,-33.61566267152375,-48.413203975118044,14.797541303594294,62.5,45.47413792966241,50.9433962254539,78.0,7.0,7.0,38.2,1,43183.0,43162.0,0.0004865390853065084,0.004978811106222241,-4.377890271639823e-05,43483.0,43306.0,-0.0019547869282247787,0.002124416939915898,0,-0.005591130592141363,43476.84673482501,43322.95326517499,0.003545940650785332,1,11205.610503282276,8785.76250982338,43399.9,-0.7833505747262202,1.6092737811060032,-0.0017940932928511844,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-10 12:53:00,12:53:09,TX243600F6,Call,11.0,13.5,250.0,0.045454545454545456,觸及動態停利 (13.3),2026-06-10 12:52:00,43401.0,43437.0,43393.0,43399.0,179,12:52:00,2026-06-10,2,2.3042536522410728e-05,179,43640.30029042124,-0.0055292994964610525,-31.7888026296132,-45.08832370601708,13.299521076403877,62.57142857142857,47.963800903458164,46.206896550768136,2.0,36.0,6.0,31.4,0,43183.0,43162.0,0.0004865390853065084,0.0050019683671814145,-1.2672942461451737e-05,43483.0,43306.0,-0.001931789434951546,0.0021475084283932447,0,-0.005559972175315993,43476.44356964573,43322.65643035428,0.003543519213711882,1,5137.844576719577,-1522.521621096712,43399.55,0.12673103066958002,0.6545986469166042,2.3042536522410728e-05,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
