,True Return (%),Weekly Profit (NT$)
4,-68.17,-68170.85
5,173.3,55161.47
6,68.09,59227.76
7,220.63,322597.29
9,-57.82,-271062.52
10,72847.31,144057846.27
11,4074.27,5877367631.58
12,-33.47,-2015212306.15
13,-88.86,-3560181107.65
14,179.23,799785900.97
15,-79.9,-995571305.96
16,-68.18,-170746161.98
17,3624.32,2888517088.74
18,104.38,3098109575.9
