entry_time,exit_time,symbol,direction,entry_price,exit_price,pnl,ret,reason,feat_date,feat_Open,feat_High,feat_Low,feat_Close,feat_Volume,feat_time,feat_date_only,feat_day_of_week,feat_ret,feat_mock_volume,feat_vwap,feat_vwap_bias,feat_macd,feat_signal,feat_macd_hist,feat_atr,feat_rsi,feat_rsi_fast,feat_body_length,feat_upper_shadow,feat_lower_shadow,feat_body_avg_5,feat_momentum_explosion,feat_daily_open,feat_yesterday_close,feat_gap_amplitude,feat_intraday_trend,feat_dist_from_ma20,feat_recent_high_20,feat_recent_low_20,feat_pullback_from_high,feat_bounce_from_low,feat_gap_filled,feat_spot_futures_proxy,feat_smooth_price,feat_is_peak,feat_is_trough,feat_recent_peak_val,feat_recent_trough_val,feat_inflection_breakout,feat_bb_upper,feat_bb_lower,feat_bb_width,feat_is_squeeze,feat_vwap_5,feat_slope_vwap,feat_ma_20,feat_slope_ma20,feat_vol_surge_ratio,feat_price_roc,feat_pv_divergence,feat_pc_ratio,feat_foreign_net_oi,feat_dealer_net_oi,feat_foreign_net_oi_zscore,feat_foreign_net_oi_momentum,feat_dealer_net_oi_zscore,feat_dealer_net_oi_momentum,feat_dealer_relative_momentum,feat_dealer_extreme_score,feat_foreign_spot_net,feat_dealer_spot_net
2026-06-15 08:46:00,2026-06-15 08:48:56,TXO45050F6,Call,990.0,1000.0,400.0,0.00808080808080808,觸及高點回檔動態停利 (1003.0),2026-06-15 08:45:00,45715.0,45777.0,45661.0,45729.0,1082,08:45:00,2026-06-15,0,-0.00021863180218195666,1082,45849.772758152176,-0.002634097202383616,224.1256361634223,263.5721411813569,-39.44650501793461,81.57142857142857,26.35046113258379,0.0,14.0,48.0,54.0,13.4,1,45400.0,44704.0,0.015569076592698293,0.007246696035242132,0.0017448222154313197,46088.0,44689.0,-0.007789446276687906,0.023271946116493473,0,-0.0026456621650072384,45767.267444929515,False,False,45776.83430616189,44696.92036072921,0,46655.48743436997,44643.21256563003,0.04408112861935383,0,5911.443010752688,-4623.356437089953,45649.35,34.8311420525857,1.2208055962978441,-0.00021863180218195666,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 08:49:00,2026-06-15 08:49:27,TXO45500R6,Call,405.0,420.0,1300.0,0.03209876543209877,觸及高點回檔動態停利 (420.0),2026-06-15 08:48:00,45735.0,45821.0,45735.0,45804.0,593,08:48:00,2026-06-15,0,0.0014211067141827183,593,45839.65465804509,-0.0007778125361341534,182.78822054794,228.59196295697302,-45.80374240903302,89.78571428571429,37.00265251920685,95.180722888126,69.0,17.0,0.0,27.4,1,45400.0,44704.0,0.015569076592698293,0.00889867841409672,-0.00010041782547378538,46088.0,44689.0,-0.006162124631140293,0.024950211461432906,0,-0.0007783398323696381,45764.68093180392,False,True,45776.83430616189,45764.68093180392,1,46389.48404495444,45227.715955045554,0.025361353324678402,1,4864.214183381089,-1771.5282469385725,45808.6,34.88549125014924,0.6078933880055275,0.0014211067141827183,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 08:50:00,2026-06-15 08:51:00,TXO45500R6,Put,439.0,405.0,-3600.0,-0.08200455580865604,📈 突破前次反曲高點 (45762.5)，空單趨勢反轉出場,2026-06-15 08:49:00,45805.0,45834.0,45722.0,45754.0,442,08:49:00,2026-06-15,0,-0.0010916077198498408,442,45838.10972835541,-0.001834930123730206,169.85708602604427,216.84498757078728,-46.98790154474301,96.35714285714286,34.70149253670918,61.240310076095184,51.0,29.0,32.0,29.4,1,45400.0,44704.0,0.015569076592698293,0.007797356828193661,-0.0023353124979557014,46088.0,45400.0,-0.007247005728172036,0.007797356828193661,0,-0.0018340102691695134,45762.54474544314,True,False,45762.54474544314,45764.68093180392,-1,46124.87414581117,45597.32585418883,0.011503175711492517,1,6044.013150029887,3012.751703358409,45861.1,35.07597241186054,0.44359694901601404,-0.0010916077198498408,1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 08:52:00,2026-06-15 08:55:01,TXO46000F6,Call,450.0,462.0,1000.0,0.022222222222222223,觸及高點回檔動態停利 (462.0),2026-06-15 08:51:00,45814.0,45845.0,45797.0,45837.0,202,08:51:00,2026-06-15,0,0.00032735367290825934,202,45837.48352727451,-1.0548730805074996e-05,157.34707118215738,196.36455242761343,-39.017481245456054,81.42857142857143,56.82888539906499,62.406015036186325,23.0,8.0,17.0,44.8,0,45400.0,44704.0,0.015569076592698293,0.00962555066079274,3.818022155437053e-05,46088.0,45658.0,-0.005446103107099344,0.003920452056594597,0,-1.0549244839098255e-05,45786.94863708362,False,False,45762.54474544314,45774.43579635452,1,46048.627722900026,45621.872277099974,0.009310638554388663,1,4827.462982273201,-75.5542410806063,45835.25,5.817684888863981,0.21134128478739136,0.00032735367290825934,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 08:56:00,2026-06-15 08:58:01,TXO46000F6,Call,453.0,461.0,600.0,0.013245033112582781,觸及高點回檔動態停利 (461.0),2026-06-15 08:55:00,45869.0,45876.0,45832.0,45834.0,206,08:55:00,2026-06-15,0,-0.0007630425777758187,206,45837.70477433794,-8.08237313839315e-05,131.17183937505615,162.51815373424824,-31.346314359192093,62.07142857142857,54.73684210324654,52.27272727094525,35.0,7.0,2.0,21.8,1,45400.0,44704.0,0.015569076592698293,0.009559471365638556,0.0007587460493348525,46000.0,45658.0,-0.0036086956521738348,0.003854746156204743,0,-8.089159403127875e-05,45818.51016174946,False,False,45762.54474544314,45774.43579635452,1,45906.45148270041,45692.04851729959,0.004681364114058951,1,7359.1613406079505,-2825.122313504127,45799.25,-5.401099860335195,0.23992546005096677,-0.0007630425777758187,1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 08:59:00,2026-06-15 09:00:49,TXO46000F6,Call,468.0,411.0,-5900.0,-0.12606837606837606,觸及原始動態停損 (412.4),2026-06-15 08:58:00,45873.0,45905.0,45834.0,45881.0,554,08:58:00,2026-06-15,0,0.00015259188211191876,554,45838.87705492213,0.0009189349256396338,117.02058169065276,142.12795332997945,-25.107371639326686,64.5,69.29347825823339,99.99999999361702,8.0,24.0,39.0,26.2,0,45400.0,44704.0,0.015569076592698293,0.010594713656387433,0.0014919460018138452,45988.0,45658.0,-0.002326693920153033,0.004884138595645782,0,0.0009194610021002754,45845.069202815735,False,False,45762.54474544314,45774.43579635452,1,45929.09610227598,45696.20389772402,0.0050835785433052325,1,18828.20296296296,15584.712838226125,45812.65,2.925812103910316,0.7096650227365533,0.00015259188211191876,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 09:01:00,2026-06-15 09:03:20,TXO46000F6,Put,425.0,432.0,500.0,0.011764705882352941,觸及高點回檔動態停利 (433.0),2026-06-15 09:00:00,45868.0,45873.0,45740.0,45772.0,967,09:00:00,2026-06-15,0,-0.001962408966028506,967,45837.312136481625,-0.0014248683755093542,97.46879087767593,128.1822606701937,-30.71346979251777,63.642857142857146,55.07559395081845,6.03448275846462,96.0,5.0,32.0,32.8,1,45400.0,44704.0,0.015569076592698293,0.008193832599118763,-0.0007608032423097809,45905.0,45658.0,-0.002897287877137504,0.0024968242148144357,0,-0.0014258159310588652,45833.16428980208,True,False,45833.16428980208,45774.43579635452,-1,45908.207678277446,45705.49232172255,0.004425437604962792,1,17255.95477582846,16804.674031985454,45806.85,-0.36019516028716403,1.313947958419303,-0.001962408966028506,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 09:04:00,2026-06-15 09:07:47,TXO46000F6,Put,435.0,354.0,-8300.0,-0.19080459770114944,觸及原始動態停損 (355.4),2026-06-15 09:03:00,45697.0,45772.0,45694.0,45742.0,562,09:03:00,2026-06-15,0,0.0011819296095254561,562,45826.70286547483,-0.0018483299076408211,56.71329633241112,97.79643902236829,-41.08314268995717,63.0,48.72881355787669,39.13043478175804,45.0,30.0,3.0,45.4,0,45400.0,44704.0,0.015569076592698293,0.007533039647576927,-0.0011496976175164634,45905.0,45654.0,-0.003550811458446715,0.001927541945941168,0,-0.0018496236017706532,45775.94011637867,False,False,45833.16428980208,45774.43579635452,-1,45918.63688385008,45670.663116149924,0.0054149069312714165,1,6549.555159235669,-6204.466664220715,45794.65,-2.6633571179849933,0.9073296738764816,0.0011819296095254561,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 09:08:00,2026-06-15 09:32:00,TXO46000F6,Put,360.0,371.0,900.0,0.025,📈 突破前次反曲高點 (45557.1)，空單趨勢反轉出場,2026-06-15 09:07:00,45609.0,45630.0,45554.0,45573.0,488,09:07:00,2026-06-15,0,-0.0006578514571409233,488,45812.566401178905,-0.005229272664644583,5.322018109363853,53.549023869582896,-48.22700576021904,73.85714285714286,27.022058822833984,0.0,36.0,21.0,19.0,43.0,0,45400.0,44704.0,0.015569076592698293,0.0038105726872245857,-0.0044194139634256575,45905.0,45554.0,-0.007232327633155272,0.0004170874127409137,0,-0.005233529898851557,45685.24427166871,False,False,45833.16428980208,45774.43579635452,-1,45962.25690468385,45588.34309531616,0.00816846223547809,0,8020.059141723765,7168.881223601686,45775.3,-4.214470701784847,1.0158201498729895,-0.0006578514571409233,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
2026-06-15 09:33:01,2026-06-15 09:54:00,TXO45000R6,Call,299.0,269.0,-4800.0,-0.10702341137123746,📉 跌破前次反曲低點 (45696.4)，多單趨勢反轉出場,2026-06-15 09:32:00,45631.0,45661.0,45617.0,45649.0,462,09:32:00,2026-06-15,0,0.00024102721416352502,462,45738.608921438085,-0.001959152749747972,-1.7442626090341946,-29.776556357396768,28.032293748362573,77.85714285714286,62.12832550724602,99.99999999782608,18.0,12.0,14.0,43.8,0,45400.0,44704.0,0.015569076592698293,0.005484581497797236,0.0032306272251768444,45661.0,45340.0,-0.0002628063336326348,0.006815174239082338,0,-0.001969340280385094,45552.492734070845,False,False,45557.097826785495,45454.33089060089,1,45659.14827057883,45344.85172942117,0.006907312671039776,1,12162.53633217993,4507.525044897696,45502.0,3.836467547771076,1.3826125991279887,0.00024102721416352502,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0,0.0,0.0
