Date,Open,Close,close_to_open_ret,Volume
2022-06-22,15687.4599609375,15347.75,-0.021654873496626828,3950300
2022-06-30,15146.919921875,14825.73046875,-0.02120493504828939,3673000
2022-07-01,14812.1298828125,14343.080078125,-0.03166660084663244,4290300
2022-07-06,14289.669921875,13985.509765625,-0.02128531714958536,3688700
2022-07-07,14052.1796875,14336.26953125,0.020216781315621074,3460100
2022-07-12,14235.6298828125,13950.6201171875,-0.020020874943447974,3120000
2022-09-28,13816.7001953125,13466.0703125,-0.02537725201068312,3481100
2022-10-11,13394.1201171875,13106.0302734375,-0.021508680019997697,2847100
2022-10-13,13108.400390625,12810.73046875,-0.022708333053962148,3440400
2024-04-16,20365.109375,19901.9609375,-0.022742251414989024,5377200
2024-04-19,19992.060546875,19527.119140625,-0.023256302428649653,7130900
2024-07-22,22818.859375,22256.990234375,-0.024623016049635477,5194300
2024-08-02,22141.19921875,21638.08984375,-0.022722769892876808,4570100
2024-08-05,20982.919921875,19830.880859375,-0.05490365815574516,6413800
2024-08-07,20638.279296875,21295.279296875,0.03183404927073942,3982300
2024-09-04,21574.650390625,21092.75,-0.02233641713306297,4571100
2025-01-13,23070.3203125,22488.330078125,-0.025226794708162983,3544500
2025-03-31,21254.630859375,20695.900390625,-0.026287469890522937,4034100
2025-04-07,20153.5703125,19232.349609375,-0.045710049824453404,1558900
2025-04-08,19064.470703125,18459.94921875,-0.0317093243126812,5839900
2025-04-09,18337.439453125,17391.759765625,-0.05157097804834691,6177900
2025-04-10,18256.470703125,19000.029296875,0.04072849598595875,2659600
2025-04-11,18772.5,19528.76953125,0.040286031761885735,4766500
2025-04-23,19163.609375,19639.140625,0.024814284235012488,2694600
2025-08-20,24309.26953125,23625.439453125,-0.028130424784912778,4336000
2025-11-18,27310.400390625,26756.119140625,-0.02029561053928273,5433000
2026-01-06,29933.650390625,30576.30078125,0.021469162037994316,6867900
2026-03-03,35106.21875,34323.6484375,-0.022291501060620493,8829900
2026-03-04,34228.75,32828.87890625,-0.04089752309827265,7817200
2026-03-11,33128.48828125,34114.19140625,0.029753942185097724,5854600
2026-03-25,32725.26953125,33439.109375,0.021813108156934824,4540400
2026-03-31,32419.0,31722.990234375,-0.021469192930843026,5862700
2026-04-01,31892.330078125,33174.8203125,0.040213124322787,4716000
2026-04-08,33379.5,34761.37890625,0.041399029531598734,5671700
2026-04-14,35584.08984375,36296.12109375,0.02000982048793532,7184600
2026-04-24,37862.6484375,38932.3984375,0.028253438260290743,5653800
