date,Open,High,Low,Close,Volume,time,date_only,day_of_week,ret,mock_volume,vwap,vwap_bias,macd,signal,macd_hist,atr,rsi,rsi_fast,body_length,upper_shadow,lower_shadow,body_avg_5,momentum_explosion,daily_open,yesterday_close,gap_amplitude,intraday_trend,dist_from_ma20,recent_high_20,recent_low_20,pullback_from_high,bounce_from_low,gap_filled,spot_futures_proxy,bb_upper,bb_lower,bb_width,is_squeeze,vwap_5,slope_vwap,ma_20,slope_ma20,vol_surge_ratio,price_roc,pv_divergence
2026-06-09 00:00:00,44022.0,44044.0,44004.0,44041.0,159,00:00:00,2026-06-09,1,0.0005225135171975648,159,44029.666666666664,0.0002574022060883685,-27.511417491885368,-19.22609909884367,-8.285318393041699,34.285714285714285,33.63095237955109,59.09090908688017,19.0,3.0,18.0,22.6,0,44022.0,44018.0,9.087191603434753e-05,0.0004316023806278581,-0.0014759863148180654,44184.0,44004.0,-0.0032364656889370988,0.0008408326515771103,0,0.0002569561428767337,44201.71083399545,44010.48916600455,0.004335492550710651,1,13440.535508637236,1499.6561902000146,44106.1,-2.85593183842646,1.9087635053792464,0.0005225135171975648,0
2026-06-09 00:01:00,44040.0,44070.0,44035.0,44046.0,245,00:01:00,2026-06-09,1,0.00011353057378360454,245,44042.199669967,8.628837936070138e-05,-27.52442497343145,-20.885764273761225,-6.6386606996702255,35.285714285714285,30.31249999867383,60.869565213421545,6.0,24.0,5.0,15.8,0,44022.0,44018.0,9.087191603434753e-05,0.0005451819544772945,-0.0012629898620687148,44184.0,44004.0,-0.003123302552960277,0.0009544586855740171,0,8.617196237337495e-05,44199.96730461473,44003.432695385265,0.004456395314227333,1,16325.673222390318,6411.792180365969,44101.7,-3.230124252112898,2.7528089887331144,0.00011353057378360454,0
2026-06-09 00:02:00,44041.0,44086.0,44036.0,44086.0,139,00:02:00,2026-06-09,1,0.0009081414884439809,139,44049.14548802947,0.0008366680343559665,-24.0300641686772,-21.514624252744422,-2.5154399159327774,37.0,39.71014492592481,99.99999999558824,45.0,0.0,5.0,20.0,1,44022.0,44018.0,9.087191603434753e-05,0.0014538185452727852,-0.00029932515782591957,44184.0,44004.0,-0.0022179974651457043,0.0018634669575492715,0,0.0008357183797105074,44196.33062283895,44002.069377161046,0.004405096819849297,1,8582.56862745098,-667.31578324159,44099.2,-2.607077194422215,1.4922168545196755,0.0009081414884439809,0
2026-06-09 00:03:00,44075.0,44116.0,44075.0,44111.0,176,00:03:00,2026-06-09,1,0.0005670734473528505,176,44061.75707000464,0.0011175888859157558,-19.024168220006686,-21.016533046196876,1.9923648261901903,36.0,49.9999999978395,99.99999999571429,36.0,5.0,0.0,25.0,1,44022.0,44018.0,9.087191603434753e-05,0.0020217164145199668,0.00027891978675114305,44184.0,44004.0,-0.001652181785261596,0.0024315971275338053,0,0.0011166526449840283,44195.46036595319,44001.9396340468,0.004388354575223026,1,9608.336633663366,-2851.2248433190775,44098.7,-1.6777724623127992,1.784989857994067,0.0005670734473528505,0
2026-06-09 00:04:00,44106.0,44143.0,44100.0,44111.0,117,00:04:00,2026-06-09,1,0.0,117,44069.62838915471,0.000938778300555718,-14.885370331787271,-19.79030050331496,4.904930171527688,35.42857142857143,56.84210526036565,99.99999999538461,5.0,32.0,6.0,22.2,0,44022.0,44018.0,9.087191603434753e-05,0.0020217164145199668,0.00031521347208775957,44184.0,44004.0,-0.001652181785261596,0.0024315971275338053,0,0.0009381934604609528,44191.81264017473,44002.38735982527,0.004295640310801749,1,6173.42942583732,-6218.5758947014865,44097.1,-1.0430436921929416,1.1555555555441426,0.0,0
2026-06-09 00:05:00,44120.0,44129.0,44100.0,44100.0,32,00:05:00,2026-06-09,1,-0.00024937090521637284,32,44071.104454685104,0.0006556573898574737,-12.35058144123468,-18.302356690898904,5.951775249664223,34.5,49.812734079785095,69.4444444386574,20.0,9.0,0.0,22.4,0,44022.0,44018.0,9.087191603434753e-05,0.0017718413520512069,0.00014174344436569488,44184.0,44004.0,-0.0019011406844106034,0.0021816198527406104,0,0.0006553206591613305,44182.61151258778,44004.88848741222,0.004030571797035852,1,1990.4090267983074,-7680.8702461963785,44093.75,-1.2358500834475659,0.3255340793456202,-0.00024937090521637284,1
2026-06-09 00:06:00,44095.0,44109.0,44084.0,44097.0,74,00:06:00,2026-06-09,1,-6.802721088439156e-05,74,44073.11252653928,0.0005419965165005915,-10.463204601728648,-16.73452627306485,6.271321671336203,34.214285714285715,45.41832669069379,0.0,2.0,12.0,11.0,21.6,0,44022.0,44018.0,9.087191603434753e-05,0.001703693607741545,0.00013494802233099358,44176.0,44004.0,-0.0017883013400941284,0.0021134442323424664,0,0.0005417760171445876,44175.77239496648,44006.327605033526,0.0038430654278577983,1,6065.386617100372,-3687.37082353054,44091.05,-1.7347450151578572,0.7609254498636409,-6.802721088439156e-05,1
2026-06-09 00:07:00,44106.0,44133.0,44106.0,44118.0,57,00:07:00,2026-06-09,1,0.0004762228723043105,57,44075.73073073073,0.0009590145998373762,-7.190038079577789,-14.825628634367439,7.635590554789649,35.0,46.06299212344535,59.99999999485714,12.0,15.0,0.0,15.0,0,44022.0,44018.0,9.087191603434753e-05,0.002180727817909178,0.0006725132603057449,44176.0,44004.0,-0.001312930097790626,0.002590673575129475,0,0.0009587401041152974,44165.295024793224,44011.40497520677,0.0034904923769305822,1,5514.75,-1066.9587038293253,44088.35,-1.9842574681781797,0.579562785962587,0.0004762228723043105,-1
2026-06-09 00:08:00,44117.0,44121.0,44090.0,44092.0,23,00:08:00,2026-06-09,1,-0.0005893286187044211,23,44076.299412915854,0.00035621382224172493,-6.61772769237723,-13.184048445969399,6.566320753592169,35.642857142857146,44.656488547232094,41.999999997479996,25.0,4.0,2.0,12.8,1,44022.0,44018.0,9.087191603434753e-05,0.0015901140338921088,0.0001565154666769793,44158.0,44004.0,-0.0014946329090991103,0.0019998181983455596,0,0.0003561427122575531,44155.00489779093,44015.195102209065,0.00317136165239193,1,3346.917491749175,6815.224643212622,44085.1,-1.9617292700215916,0.24159663865292438,-0.0005893286187044211,1
2026-06-09 00:09:00,44104.0,44110.0,44079.0,44081.0,50,00:09:00,2026-06-09,1,-0.00024947836342192886,50,44076.93843283582,9.214721594985314e-05,-6.971413540668436,-11.941521464909208,4.9701079242407715,35.785714285714285,47.17741935217547,36.206896549851365,23.0,6.0,2.0,16.4,1,44022.0,44018.0,9.087191603434753e-05,0.0013402389714233488,-5.8978849277247916e-05,44143.0,44004.0,-0.0014045261989443082,0.0017498409235523647,0,9.213329138679473e-05,44152.444294174755,44014.75570582524,0.0031233517305644123,1,9339.194915254237,5397.5261674563235,44083.6,-1.6896853216252197,0.5420054200483251,-0.00024947836342192886,1
2026-06-09 00:10:00,44087.0,44089.0,44066.0,44077.0,51,00:10:00,2026-06-09,1,-9.074204305714595e-05,51,44076.956366874445,9.899305476512504e-07,-7.488159848697251,-11.050849141666816,3.5626892929695657,33.714285714285715,54.92957746117834,0.0,10.0,2.0,11.0,14.4,0,44022.0,44018.0,9.087191603434753e-05,0.0012493753123437997,-0.0001553857024737719,44143.0,44004.0,-0.0014951407924245863,0.0016589400963548393,0,9.897757467884561e-07,44152.55309882232,44015.14690117768,0.0031169282547834653,1,8815.4,5985.13078562038,44083.85,-1.020677798103127,0.5808656036380312,-9.074204305714595e-05,1
2026-06-09 00:11:00,44078.0,44081.0,44055.0,44060.0,25,00:11:00,2026-06-09,1,-0.00038568868117161426,25,44076.70325203252,-0.00037895874237718196,-9.16380826839304,-10.673440967012061,1.5096326986190203,33.357142857142854,56.521739126612054,0.0,18.0,3.0,5.0,17.6,1,44022.0,44018.0,9.087191603434753e-05,0.0008632047612557162,-0.000494535159635097,44143.0,44004.0,-0.0018802528147157675,0.001272611580765356,0,-0.0003789149270792592,44150.79458406202,44012.80541593798,0.0031302979489049327,1,5347.0873786407765,5976.155348383767,44081.8,-0.748552231932248,0.29620853080217757,-0.00038568868117161426,1
2026-06-09 00:12:00,44058.0,44104.0,44058.0,44091.0,47,00:12:00,2026-06-09,1,0.0007035860190649501,47,44077.00334728033,0.0003175500069591258,-7.8992728904486285,-10.118607351699376,2.2193344612507477,35.07142857142857,61.7021276558986,59.61538461194526,33.0,13.0,0.0,21.8,1,44022.0,44018.0,9.087191603434753e-05,0.0015673981191222216,0.0002416042522348669,44143.0,44004.0,-0.0011779897152436134,0.0019770929915461782,0,0.00031752589803997206,44147.148282347865,44013.55171765213,0.003030750996662477,1,10572.841836734693,1320.9349763816056,44080.35,-0.7372356159660283,0.5562130177448968,0.0007035860190649501,-1
2026-06-09 00:13:00,44108.0,44125.0,44105.0,44123.0,44,00:13:00,2026-06-09,1,0.00072577169943977,44,44078.44740382029,0.001010756930060287,-4.265813287900528,-8.948048538939606,4.682235251039078,35.0,71.08433734540088,78.74999999704687,15.0,2.0,3.0,19.8,0,44022.0,44018.0,9.087191603434753e-05,0.002294307391758614,0.0009845824372272088,44143.0,44004.0,-0.0004530729674013898,0.002704299609126382,0,0.0010107305007239001,44143.96540422825,44015.23459577175,0.0029204168925420874,1,8946.599078341014,148.82941028315753,44079.6,-0.9640718766623151,0.5204021289116452,0.00072577169943977,-1
