entry_date,signal,opt_type,K,T,prob_down,prob_neutral,prob_up,atr,macd_hist,rsi,vwap_bias,vix_ret_1d,exit_date,trade_type,ret
2026-05-23 02:49:00,2,Call,42700,0.019178082191780823,0.16353154,0.055665165,0.09552686,13.5,0.7633480237898693,49.55752211775393,-0.00039245868099103693,0,2026-05-23 02:53:00,Stop_Loss,-0.016772457318531223
2026-05-23 02:54:00,2,Call,42700,0.019178082191780823,0.0666652,0.086521894,0.09964621,12.642857142857142,-1.1342252761273048,50.96153845467825,-0.0006210698586726036,0,2026-05-23 02:55:00,Trailing_Stop,0.005258690213569923
2026-05-23 02:56:00,2,Call,42700,0.019178082191780823,0.10923785,0.067200266,0.089126416,10.857142857142858,0.29694857456522605,38.38383837841037,-0.0003154419652362649,0,2026-05-23 03:13:00,Stop_Loss,-0.014139483791840048
2026-05-23 03:12:00,2,Call,42650,0.019178082191780823,0.047814526,0.09265875,0.11584998,20.0,0.19493575333845925,37.19512194804432,-0.0011336539902154234,0,2026-05-23 03:08:00,Stop_Loss,-0.02284750691435379
2026-05-23 03:48:00,2,Call,42550,0.019178082191780823,0.051699474,0.11968804,0.11447446,17.5,-4.315952015599411,32.432432429364496,-0.0012036030016061446,0,2026-05-23 03:07:00,Trailing_Stop,0.0704885722288473
2026-05-23 03:05:00,2,Call,42650,0.019178082191780823,0.051355645,0.18494935,0.11906332,16.642857142857142,-5.8094066451535795,28.571428568571434,-0.0019356683933988556,0,2026-05-23 03:03:00,Trailing_Stop,0.01585654188241154
2026-05-23 03:02:00,2,Call,42700,0.019178082191780823,0.15534192,0.14448266,0.1020298,13.071428571428571,-3.2394865359999034,29.565217387705104,-0.0014445145480044763,0,2026-05-23 03:06:00,Stop_Loss,-0.016352389851702523
2026-05-23 02:42:00,2,Call,42750,0.019178082191780823,0.21237633,0.055191234,0.08545313,15.214285714285714,-4.393405270493444,34.188034183943316,-0.0012777718170300352,0,2026-05-23 03:49:00,Stop_Loss,-0.018657852883407454
2026-05-23 03:51:00,2,Call,42550,0.019178082191780823,0.25257927,0.057354406,0.06378034,13.071428571428571,-2.43713151742552,28.26086956091683,-0.0031347794055067196,0,2026-05-23 04:32:00,Stop_Loss,-0.01631244408112183
2026-05-23 04:33:00,2,Call,42550,0.019178082191780823,0.053431455,0.058962453,0.18110771,9.571428571428571,-1.2634975878355603,41.891891883966395,-0.003048211112228516,0,2026-05-23 04:45:00,Trailing_Stop,0.010214075883674277
2026-05-23 04:47:00,1,Call,42550,0.019178082191780823,8.3820686e-07,0.0032221512,0.3003023,12.071428571428571,-1.383539248742784,34.939759030251125,-0.003107860253852391,0,2026-05-23 04:51:00,Trailing_Stop,0.006272540441239886
2026-05-23 04:52:00,2,Call,42600,0.019178082191780823,0.00015664494,0.043691225,0.21326523,8.0,1.6414606840316457,63.999999988053325,-0.0025179849845804007,0,2026-05-23 04:57:00,Trailing_Stop,0.022059989484658007
