date,Open,High,Low,Close,Volume,time,date_only,day_of_week,ret,mock_volume,vwap,vwap_bias,macd,signal,macd_hist,atr,rsi,rsi_fast,body_length,upper_shadow,lower_shadow,body_avg_5,momentum_explosion,daily_open,yesterday_close,gap_amplitude,intraday_trend,dist_from_ma20,recent_high_20,recent_low_20,pullback_from_high,bounce_from_low,gap_filled,spot_futures_proxy,bb_upper,bb_lower,bb_width,is_squeeze,vwap_5,slope_vwap,ma_20,slope_ma20,vol_surge_ratio,price_roc,pv_divergence,pc_ratio,foreign_net_oi,dealer_net_oi,foreign_net_oi_zscore,foreign_net_oi_momentum,dealer_net_oi_zscore,dealer_net_oi_momentum,dealer_relative_momentum,dealer_extreme_score
2026-06-12 00:00:00,43649.0,43653.0,43620.0,43645.0,78,00:00:00,2026-06-12,4,-6.873167155430071e-05,78,43639.333333333336,0.00012985227394240925,10.403441076472518,9.016479006643817,1.3869620698287015,43.642857142857146,60.18518518258459,95.99999999616,4.0,4.0,25.0,21.8,0,43649.0,43648.0,2.291055718475021e-05,-9.16401292125801e-05,0.0007004559268774962,43695.0,43551.0,-0.0011442956860052377,0.0021583890151775586,1,0.0001299263585042139,43680.37651409541,43548.52348590458,0.0030231500842227413,1,6891.315789473684,-3470.1521031654624,43614.45,-0.24074010386282638,0.8346709470215657,-6.873167155430071e-05,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:01:00,43648.0,43724.0,43644.0,43724.0,314,00:01:00,2026-06-12,4,0.0018100584259366226,314,43685.792517006805,0.0008745974558735616,18.394493954496284,10.89208199621431,7.502411958281973,42.714285714285715,60.550458713003955,96.90721649184823,76.0,0.0,4.0,32.2,1,43649.0,43648.0,2.291055718475021e-05,0.0017182524227358769,0.002460066900980598,43724.0,43551.0,0.0,0.003972354251337421,0,0.0008759828917179527,43693.993970608026,43539.40602939197,0.003544237441531661,1,20645.61804511278,13108.068884675424,43616.7,0.5388134868451656,3.2008154943608482,0.0018100584259366226,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:02:00,43720.0,43728.0,43667.0,43671.0,158,00:02:00,2026-06-12,4,-0.0012121489342237224,158,43686.61818181818,-0.0003575049401438716,20.217746278241975,12.757214852619844,7.460531425622131,44.57142857142857,51.72413792911369,58.5185185172181,49.0,8.0,4.0,38.4,1,43649.0,43648.0,2.291055718475021e-05,0.0005040207106691906,0.0012082084813024782,43728.0,43551.0,-0.00130351262349064,0.002755390232141564,0,-0.0003580648906119468,43698.79609338503,43537.80390661497,0.003690932172277638,1,9452.079452054795,182.57061766915737,43618.3,1.0203180870306945,1.5815815815657497,-0.0012121489342237224,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:03:00,43678.0,43685.0,43627.0,43634.0,130,00:03:00,2026-06-12,4,-0.0008472441666094177,130,43679.36274509804,-0.001038539535541459,18.464251702520414,13.89862222259996,4.565629479920455,44.785714285714285,51.861702125728556,46.74556212934771,44.0,7.0,7.0,37.6,1,43649.0,43648.0,2.291055718475021e-05,-0.00034365048454717536,0.00037140800315460016,43728.0,43551.0,-0.002149652396633687,0.0019058115772312484,1,-0.0010400053441035778,43697.746297750025,43537.85370224998,0.0036657647909807767,1,7328.708010335918,634.7005916204556,43617.8,0.7680940605707102,1.2871287128585431,-0.0008472441666094177,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:04:00,43639.0,43654.0,43608.0,43613.0,99,00:04:00,2026-06-12,4,-0.00048127606912040655,99,43672.454000855796,-0.0013613615771311965,15.20479866793903,14.159857511667775,1.0449411562712552,46.07142857142857,51.72413792911369,0.0,26.0,15.0,5.0,39.8,0,43649.0,43648.0,2.291055718475021e-05,-0.0008247611629132209,-0.00014099311884805904,43728.0,43551.0,-0.0026298938894986595,0.0014236182866064746,1,-0.0013630252046588408,43697.73558859271,43540.56441140729,0.0036032608885183098,1,5542.602053915276,-7315.361525237886,43619.15,0.5617114545585443,1.0030395136676489,-0.00048127606912040655,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:05:00,43613.0,43632.0,43587.0,43628.0,94,00:05:00,2026-06-12,4,0.0003439341480750979,94,43666.33944253532,-0.000878009080329981,13.674403285658627,14.062766666465947,-0.3883633808073199,46.785714285714285,54.68749999800619,20.547945204635013,15.0,4.0,26.0,42.0,0,43649.0,43648.0,2.291055718475021e-05,-0.0004811106783660455,0.00016391244095429806,43728.0,43551.0,-0.0022868642517379647,0.0017680420656241702,1,-0.0008789247008097552,43698.61151123275,43543.088488767244,0.0035653368163505793,1,5158.5308176100625,-4542.438154718806,43620.85,0.584617007080889,0.9461499748269134,0.0003439341480750979,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:06:00,43632.0,43664.0,43610.0,43662.0,69,00:06:00,2026-06-12,4,0.000779316035573574,69,43664.80077848549,-6.414270615137131e-05,15.03179262107733,14.256571857388225,0.775220763689104,48.357142857142854,57.24815724618802,69.999999997,30.0,2.0,22.0,32.8,0,43649.0,43648.0,2.291055718475021e-05,0.0002978304199408853,0.0008481375358165995,43728.0,43555.0,-0.0015093304061470567,0.002456663988061016,0,-6.420122602848285e-05,43702.21466998431,43547.78533001569,0.003539927563750382,1,5477.596363636364,-2525.8362648489615,43625.0,1.6507022362423343,0.7095115681160975,0.000779316035573574,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:07:00,43657.0,43693.0,43656.0,43681.0,90,00:07:00,2026-06-12,4,0.0004351610095736369,90,43665.83559431525,0.0003472830756209023,17.439641329779988,14.893185751866579,2.5464555779134095,48.07142857142857,60.72289156421658,99.99999999558824,24.0,12.0,1.0,27.8,0,43649.0,43648.0,2.291055718475021e-05,0.0007331210337006408,0.0012538308314020633,43728.0,43555.0,-0.0010748261983168435,0.002892894042015776,0,0.0003475977950170074,43706.4606282,43546.1393718,0.003674876310849075,0,8156.203319502075,4715.477027149296,43626.3,1.639188292298556,0.9394572024954128,0.0004351610095736369,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:08:00,43680.0,43702.0,43670.0,43701.0,85,00:08:00,2026-06-12,4,0.00045786497561861594,85,43667.75052223217,0.0007614195228788029,20.722831727427547,16.059114946978774,4.663716780448773,47.214285714285715,66.830466828168,99.9999999958904,21.0,1.0,10.0,23.2,0,43649.0,43648.0,2.291055718475021e-05,0.0011913216797635412,0.0016629057415516997,43728.0,43555.0,-0.0006174533479692504,0.0033520835724944703,0,0.0007621054098375858,43714.29557737895,43542.60442262104,0.003935302646734037,0,8500.194508009154,6477.936855570202,43628.45,1.7422860856674147,0.8817427385800648,0.00045786497561861594,0,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
2026-06-12 00:09:00,43694.0,43711.0,43672.0,43707.0,72,00:09:00,2026-06-12,4,0.00013729662936778908,72,43669.50154191197,0.0008586875683029319,23.537606748628605,17.55481330730874,5.982793441319863,48.0,65.56122448745444,99.99999999333333,13.0,4.0,22.0,20.6,0,43649.0,43648.0,2.291055718475021e-05,0.0013287818735824115,0.0017005555453694329,43728.0,43555.0,-0.0004802414928649726,0.0034898404316380787,0,0.0008594098496549734,43725.3944183708,43540.205581629205,0.004244257456353744,0,7675.375609756097,4012.305946290487,43632.8,1.7879656160465125,0.7445708376344925,0.00013729662936778908,-1,0.9595999999999999,32711.0,3843.0,0.0,923.0,0.0,379.0,-544.0,0.0
